District,Number,Neighborhood,Area,Link,Latitude,Longitude,Price 2nd Hand Housing
Centro,11,Palacio,1.4709999999999999,/wiki/Palacio_(Madrid),40.415,-3.7133333333333334,4873.0
Centro,12,Embajadores,1.032,/wiki/Embajadores_(Madrid),40.40888888888889,-3.6997222222222224,4239.0
Centro,13,Cortes,0.5920000000000001,/wiki/Cortes_(Madrid),40.41416666666667,-3.698055555555556,5106.0
Centro,14,Justicia,0.742,/wiki/Justicia_(Madrid),40.42388888888889,-3.696388888888889,5989.0
Centro,15,Universidad,0.9470000000000001,/wiki/Universidad_(Madrid),40.42527777777777,-3.7083333333333335,5068.0
Centro,16,Sol,0.445,/wiki/Sol_(Madrid),40.416666666666664,-3.7038888888888892,5263.0
Arganzuela,21,Imperial,0.9670000000000001,/wiki/Imperial_(Madrid),40.406666666666666,-3.7169444444444446,3896.0
Arganzuela,22,Acacias,1.074,/wiki/Acacias_(Madrid),40.40138888888889,-3.705,4046.0
Arganzuela,23,Chopera,0.5660000000000001,/wiki/Chopera_(Madrid),40.394999999999996,-3.6994444444444445,3727.0
Arganzuela,24,Legazpi,1.396,/wiki/Legazpi_(Madrid),40.38861111111111,-3.695277777777778,4263.0
Arganzuela,25,Delicias,1.057,/wiki/Delicias_(Madrid),40.395833333333336,-3.6894444444444447,3777.0
Arganzuela,26,Palos de Moguer,0.643,/wiki/Palos_de_Moguer_(Madrid),40.403888888888886,-3.693888888888889,3948.0
Arganzuela,27,Atocha,0.775,/wiki/Atocha_(Madrid),40.400277777777774,-3.6830555555555553,3919.0
Retiro,31,Pacífico,0.75,/wiki/Pac%C3%ADfico_(Madrid),40.40472222222222,-3.6758333333333333,4059.0
Retiro,32,Adelfas,0.64,/wiki/Adelfas,40.400277777777774,-3.6708333333333334,4074.0
Retiro,33,Estrella,1.025,/wiki/Estrella_(Madrid),40.41361111111111,-3.6641666666666666,4024.0
Retiro,34,Ibiza,0.49,/wiki/Ibiza_(Madrid),40.41888888888889,-3.6741666666666664,5226.0
Retiro,35,Jerónimos,1.9,/wiki/Jer%C3%B3nimos_(Retiro),40.413888888888884,-3.6908333333333334,6315.0
Retiro,36,Niño Jesús,0.643,/wiki/Ni%C3%B1o_Jes%C3%BAs_(Madrid),40.41166666666666,-3.6738888888888885,4463.0
Salamanca,41,Recoletos,0.87,/wiki/Recoletos_(barrio),40.424166666666665,-3.686388888888889,7931.0
Salamanca,42,Goya,0.7709999999999999,/wiki/Goya_(Madrid),40.42472222222222,-3.677222222222222,5652.0
Salamanca,43,Fuente del Berro,0.852,/wiki/Fuente_del_Berro,40.42472222222222,-3.6638888888888888,4275.0
Salamanca,44,La Guindalera,1.598,/wiki/La_Guindalera,40.43611111111111,-3.6730555555555555,4267.0
Salamanca,45,Lista,0.52,/wiki/Lista_(Madrid),40.43277777777777,-3.674444444444444,5498.0
Salamanca,46,Castellana,0.773,/wiki/Castellana_(Madrid),40.43277777777777,-3.6836111111111114,6922.0
Chamartín,51,El Viso,1.7080000000000002,/wiki/El_Viso_(Madrid),40.44444444444444,-3.688888888888889,5813.0
Chamartín,52,Prosperidad,1.043,/wiki/Prosperidad_(Madrid),40.44499999999999,-3.67,4344.0
Chamartín,53,Ciudad Jardín,0.762,/wiki/Ciudad_Jard%C3%ADn_(Madrid),40.44694444444444,-3.6716666666666664,4321.0
Chamartín,54,Hispanoamérica,1.7069999999999999,/wiki/Hispanoam%C3%A9rica_(Madrid),40.455555555555556,-3.6766666666666663,5024.0
Chamartín,55,Nueva España,1.788,/wiki/Nueva_Espa%C3%B1a_(Madrid),40.463055555555556,-3.6774999999999998,5204.0
Chamartín,56,Castilla,2.16,/wiki/Castilla_(Madrid),40.475,-3.678888888888889,4313.0
Tetuán,61,Bellas Vistas,0.716,/wiki/Bellas_Vistas,40.4525,-3.707222222222222,3354.0
Tetuán,62,Cuatro Caminos,1.193,/wiki/Cuatro_Caminos_(Madrid),40.45027777777778,-3.6958333333333337,4115.0
