Postcode,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
M3A,Parkwoods,43.752440000000036,-79.32927072599996,Brookbanks Park,43.751976046055574,-79.33214044722958,Park
M3A,Parkwoods,43.752440000000036,-79.32927072599996,Allwyn's Bakery,43.75984035203157,-79.32471879917513,Caribbean Restaurant
M3A,Parkwoods,43.752440000000036,-79.32927072599996,Tim Hortons,43.76066827030228,-79.32636763515987,Café
M3A,Parkwoods,43.752440000000036,-79.32927072599996,A&W Canada,43.760643076161315,-79.3268649067081,Fast Food Restaurant
M3A,Parkwoods,43.752440000000036,-79.32927072599996,Bruno's valu-mart,43.746143,-79.32463,Grocery Store
M3A,Parkwoods,43.752440000000036,-79.32927072599996,Food Basics,43.76086487186778,-79.326015195595,Supermarket
M3A,Parkwoods,43.752440000000036,-79.32927072599996,Shoppers Drug Mart,43.745315,-79.3258,Pharmacy
M3A,Parkwoods,43.752440000000036,-79.32927072599996,High Street Fish & Chips,43.74525988387223,-79.3249491573105,Fish & Chips Shop
M3A,Parkwoods,43.752440000000036,-79.32927072599996,Variety Store,43.75197441585782,-79.33311418516017,Food & Drink Shop
M3A,Parkwoods,43.752440000000036,-79.32927072599996,Shoppers Drug Mart,43.76085733239677,-79.32496051573521,Pharmacy
M3A,Parkwoods,43.752440000000036,-79.32927072599996,Pizza Pizza,43.76023098701761,-79.32566642761229,Pizza Place
M3A,Parkwoods,43.752440000000036,-79.32927072599996,Underhill Mini Mart Convenience,43.74583602808115,-79.32483508046442,Convenience Store
M3A,Parkwoods,43.752440000000036,-79.32927072599996,DVP at York Mills,43.758898765048286,-79.3340989154166,Road
M3A,Parkwoods,43.752440000000036,-79.32927072599996,Broadlands Skating Rink,43.74668925352585,-79.3226776047074,Skating Rink
M3A,Parkwoods,43.752440000000036,-79.32927072599996,Broadlands Park,43.74674606903112,-79.32250154263845,Park
M3A,Parkwoods,43.752440000000036,-79.32927072599996,TTC Stop #09083,43.75965484896959,-79.33222296778834,Bus Stop
M3A,Parkwoods,43.752440000000036,-79.32927072599996,Nail Princess,43.74538936918936,-79.32561559014736,Cosmetics Shop
M3A,Parkwoods,43.752440000000036,-79.32927072599996,TTC Stop 9083,43.7592505419922,-79.33399989273362,Bus Stop
M3A,Parkwoods,43.752440000000036,-79.32927072599996,Donwood Variety,43.745500799115305,-79.32492236598165,Shop & Service
M3A,Parkwoods,43.752440000000036,-79.32927072599996,Parkway Valley Tennis Club,43.754481101445634,-79.31828498840332,Tennis Court
M3A,Parkwoods,43.752440000000036,-79.32927072599996,TTC Stop #9075,43.75759633714484,-79.33815479278564,Train Station
M3A,Parkwoods,43.752440000000036,-79.32927072599996,Dollarama,43.760341,-79.325519,Discount Store
M3A,Parkwoods,43.752440000000036,-79.32927072599996,Sandover Park,43.76027747979718,-79.33330535888672,Park
M3A,Parkwoods,43.752440000000036,-79.32927072599996,Parkwoods Coin Laundry,43.76038596280906,-79.32489395141602,Laundry Service
